FileName,ImageName,Format,Folder,Camera,Location,Date,Time,WorkDays,Category,Label,Count,Gendar,Independent,Comment
L-LJS-17-D6A-0001,IMAG0002,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/9/2017,17:52,1,空,,,,,
L-LJS-17-D6A-0002,IMAG0003,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/9/2017,17:52,1,工作人员,,,,,布设相机
L-LJS-17-D6A-0003,IMAG0004,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/9/2017,17:53,1,工作人员,,,,,布设相机
L-LJS-17-D6A-0004,IMAG0007,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/10/2017,9:19,2,空,,,,,
L-LJS-17-D6A-0005,IMAG0008,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/10/2017,9:19,2,空,,,,,
L-LJS-17-D6A-0006,IMAG0009,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/10/2017,9:19,2,空,,,,,
L-LJS-17-D6A-0007,IMAG0260,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/10/2017,14:08,2,其他,未知,,,,
L-LJS-17-D6A-0008,IMAG0584,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/10/2017,15:45,2,空,,,,,
L-LJS-17-D6A-0009,IMAG0591,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/10/2017,15:46,2,空,,,,,
L-LJS-17-D6A-0010,IMAG0678,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/11/2017,12:44,3,空,,,,,
L-LJS-17-D6A-0011,IMAG0679,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/11/2017,13:30,3,鸟类,待鉴定,1,,1,
L-LJS-17-D6A-0012,IMAG0681,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/11/2017,13:30,3,空,,,,,
L-LJS-17-D6A-0013,IMAG0698,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/11/2017,13:46,3,空,,,,,
L-LJS-17-D6A-0014,IMAG0699,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/11/2017,13:47,3,空,,,,,
L-LJS-17-D6A-0015,IMAG0700,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/11/2017,13:47,3,空,,,,,
L-LJS-17-D6A-0016,IMAG0736,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/12/2017,12:32,4,空,,,,,
L-LJS-17-D6A-0017,IMAG0737,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/12/2017,12:32,4,空,,,,,
L-LJS-17-D6A-0018,IMAG0738,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/12/2017,12:32,4,空,,,,,
L-LJS-17-D6A-0019,IMAG0742,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/12/2017,12:39,4,其他,未知,,,,
L-LJS-17-D6A-0020,IMAG0743,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/12/2017,12:39,4,其他,未知,,,,
L-LJS-17-D6A-0021,IMAG0744,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/12/2017,12:39,4,其他,未知,,,,
L-LJS-17-D6A-0022,IMAG0790,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/14/2017,15:56,6,空,,,,,
L-LJS-17-D6A-0023,IMAG0791,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/14/2017,15:56,6,空,,,,,
L-LJS-17-D6A-0024,IMAG0802,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/14/2017,16:01,6,空,,,,,
L-LJS-17-D6A-0025,IMAG0812,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/17/2017,8:08,9,鸟类,血雉,2,1雄1雌,1,
L-LJS-17-D6A-0026,IMAG0813,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/17/2017,8:08,9,鸟类,血雉,2,1雄1雌,,
L-LJS-17-D6A-0027,IMAG0814,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/17/2017,8:08,9,鸟类,血雉,2,1雄1雌,,
L-LJS-17-D6A-0028,IMAG0823,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/20/2017,10:12,12,空,,,,,
L-LJS-17-D6A-0029,IMAG0824,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/20/2017,10:12,12,空,,,,,
L-LJS-17-D6A-0030,IMAG0825,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/20/2017,10:12,12,鸟类,未知,1,,,可能是血雉
L-LJS-17-D6A-0031,IMAG0826,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/22/2017,14:58,14,空,,,,,
L-LJS-17-D6A-0032,IMAG0827,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/22/2017,14:58,14,空,,,,,
L-LJS-17-D6A-0033,IMAG0828,JPG,L-LJS-17-D6A,,L-LJS-17-D6A,6/22/2017,14:58,14,空,,,,,
